Config,Threshold,Precision,Recall,F1,AUC,ValAccuracy,TrainAccuracy,TP,FP,TN,FN
E8_log_4824L,0.50,0.9565,0.8800,0.9167,0.9784,0.9680,0.9999,22,1,99,3
E8_log_4824L,0.495,0.9565,0.8800,0.9167,0.9784,0.9680,0.9999,22,1,99,3
